Domain,Display_Order,Row_Label,Label,Method,Series_Type,Series_Label,Series,Rating,Percent,N,Color
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,1,1.9802,303,#DE8F05
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,2,34.3234,303,#DE8F05
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,3,46.5347,303,#DE8F05
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,4,17.1617,303,#DE8F05
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,GPT-5,GPT-5,5,0.0000,303,#DE8F05
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,1,3.9604,303,#029E73
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,2,19.1419,303,#029E73
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,3,44.2244,303,#029E73
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,4,32.3432,303,#029E73
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,5,0.3300,303,#029E73
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,1,1.3201,303,#CC78BC
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,2,7.9208,303,#CC78BC
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,3,21.4521,303,#CC78BC
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,4,48.8449,303,#CC78BC
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,5,20.4620,303,#CC78BC
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,1,2.9703,303,#CA9161
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,2,5.9406,303,#CA9161
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,3,13.8614,303,#CA9161
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,4,66.0066,303,#CA9161
Quitting,0,Zero-shot (select),Zero-shot (select),Zero-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,5,11.2211,303,#CA9161
Quitting,1,Supervised,Supervised,Supervised,Human reference,Human ratings,Human ratings,1,7.8176,307,#4D4D4D
Quitting,1,Supervised,Supervised,Supervised,Human reference,Human ratings,Human ratings,2,9.4463,307,#4D4D4D
Quitting,1,Supervised,Supervised,Supervised,Human reference,Human ratings,Human ratings,3,16.6124,307,#4D4D4D
Quitting,1,Supervised,Supervised,Supervised,Human reference,Human ratings,Human ratings,4,31.9218,307,#4D4D4D
Quitting,1,Supervised,Supervised,Supervised,Human reference,Human ratings,Human ratings,5,34.2020,307,#4D4D4D
Quitting,1,Supervised,Supervised,Supervised,Prediction,RF (demo),RF (demo),1,6.1889,307,#7F7F7F
Quitting,1,Supervised,Supervised,Supervised,Prediction,RF (demo),RF (demo),2,7.8176,307,#7F7F7F
Quitting,1,Supervised,Supervised,Supervised,Prediction,RF (demo),RF (demo),3,17.5896,307,#7F7F7F
Quitting,1,Supervised,Supervised,Supervised,Prediction,RF (demo),RF (demo),4,34.2020,307,#7F7F7F
Quitting,1,Supervised,Supervised,Supervised,Prediction,RF (demo),RF (demo),5,34.2020,307,#7F7F7F
Quitting,1,Supervised,Supervised,Supervised,Prediction,LR (full),LR (full),1,5.8632,307,#E02020
Quitting,1,Supervised,Supervised,Supervised,Prediction,LR (full),LR (full),2,0.6515,307,#E02020
Quitting,1,Supervised,Supervised,Supervised,Prediction,LR (full),LR (full),3,16.2866,307,#E02020
Quitting,1,Supervised,Supervised,Supervised,Prediction,LR (full),LR (full),4,32.5733,307,#E02020
Quitting,1,Supervised,Supervised,Supervised,Prediction,LR (full),LR (full),5,44.6254,307,#E02020
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Human reference,Human ratings,Human ratings,1,7.5908,303,#4D4D4D
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Human reference,Human ratings,Human ratings,2,9.5710,303,#4D4D4D
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Human reference,Human ratings,Human ratings,3,16.5017,303,#4D4D4D
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Human reference,Human ratings,Human ratings,4,32.3432,303,#4D4D4D
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Human reference,Human ratings,Human ratings,5,33.9934,303,#4D4D4D
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,1,0.6601,303,#0173B2
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,2,13.8614,303,#0173B2
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,3,22.4422,303,#0173B2
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,4,47.5248,303,#0173B2
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-4o-mini,GPT-4o-mini,5,15.5116,303,#0173B2
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-5,GPT-5,1,5.2805,303,#DE8F05
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-5,GPT-5,2,27.0627,303,#DE8F05
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-5,GPT-5,3,30.0330,303,#DE8F05
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-5,GPT-5,4,34.6535,303,#DE8F05
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,GPT-5,GPT-5,5,2.9703,303,#DE8F05
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,1,12.5413,303,#029E73
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,2,8.9109,303,#029E73
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,3,11.5512,303,#029E73
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,4,35.3135,303,#029E73
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,DeepSeek-R1,DeepSeek-R1,5,31.6832,303,#029E73
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,1,5.2805,303,#CC78BC
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,2,5.6106,303,#CC78BC
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,3,7.5908,303,#CC78BC
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,4,49.5050,303,#CC78BC
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Grok-4-Fast,Grok-4-Fast,5,32.0132,303,#CC78BC
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,1,7.2607,303,#CA9161
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,2,15.5116,303,#CA9161
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,3,10.5611,303,#CA9161
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,4,34.9835,303,#CA9161
Quitting,2,Few-shot (select),Few-shot (select),Few-shot (select),Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,5,31.6832,303,#CA9161
Quitting,3,PP,PP,PP,Human reference,Human ratings,Human ratings,1,7.5908,303,#4D4D4D
Quitting,3,PP,PP,PP,Human reference,Human ratings,Human ratings,2,9.5710,303,#4D4D4D
Quitting,3,PP,PP,PP,Human reference,Human ratings,Human ratings,3,16.5017,303,#4D4D4D
Quitting,3,PP,PP,PP,Human reference,Human ratings,Human ratings,4,32.3432,303,#4D4D4D
Quitting,3,PP,PP,PP,Human reference,Human ratings,Human ratings,5,33.9934,303,#4D4D4D
Quitting,3,PP,PP,PP,Prediction,GPT-4o-mini,GPT-4o-mini,1,0.3300,303,#0173B2
Quitting,3,PP,PP,PP,Prediction,GPT-4o-mini,GPT-4o-mini,2,7.9208,303,#0173B2
Quitting,3,PP,PP,PP,Prediction,GPT-4o-mini,GPT-4o-mini,3,32.3432,303,#0173B2
Quitting,3,PP,PP,PP,Prediction,GPT-4o-mini,GPT-4o-mini,4,58.4158,303,#0173B2
Quitting,3,PP,PP,PP,Prediction,GPT-4o-mini,GPT-4o-mini,5,0.9901,303,#0173B2
Quitting,3,PP,PP,PP,Prediction,GPT-5,GPT-5,1,4.9505,303,#DE8F05
Quitting,3,PP,PP,PP,Prediction,GPT-5,GPT-5,2,15.1815,303,#DE8F05
Quitting,3,PP,PP,PP,Prediction,GPT-5,GPT-5,3,19.1419,303,#DE8F05
Quitting,3,PP,PP,PP,Prediction,GPT-5,GPT-5,4,42.9043,303,#DE8F05
Quitting,3,PP,PP,PP,Prediction,GPT-5,GPT-5,5,17.8218,303,#DE8F05
Quitting,3,PP,PP,PP,Prediction,DeepSeek-R1,DeepSeek-R1,1,6.6007,303,#029E73
Quitting,3,PP,PP,PP,Prediction,DeepSeek-R1,DeepSeek-R1,2,15.1815,303,#029E73
Quitting,3,PP,PP,PP,Prediction,DeepSeek-R1,DeepSeek-R1,3,16.1716,303,#029E73
Quitting,3,PP,PP,PP,Prediction,DeepSeek-R1,DeepSeek-R1,4,45.2145,303,#029E73
Quitting,3,PP,PP,PP,Prediction,DeepSeek-R1,DeepSeek-R1,5,16.8317,303,#029E73
Quitting,3,PP,PP,PP,Prediction,Grok-4-Fast,Grok-4-Fast,1,3.3003,303,#CC78BC
Quitting,3,PP,PP,PP,Prediction,Grok-4-Fast,Grok-4-Fast,2,8.9109,303,#CC78BC
Quitting,3,PP,PP,PP,Prediction,Grok-4-Fast,Grok-4-Fast,3,18.1518,303,#CC78BC
Quitting,3,PP,PP,PP,Prediction,Grok-4-Fast,Grok-4-Fast,4,46.8647,303,#CC78BC
Quitting,3,PP,PP,PP,Prediction,Grok-4-Fast,Grok-4-Fast,5,22.7723,303,#CC78BC
Quitting,3,PP,PP,PP,Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,1,8.9109,303,#CA9161
Quitting,3,PP,PP,PP,Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,2,8.5809,303,#CA9161
Quitting,3,PP,PP,PP,Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,3,16.1716,303,#CA9161
Quitting,3,PP,PP,PP,Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,4,35.9736,303,#CA9161
Quitting,3,PP,PP,PP,Prediction,Gemini-2.5-Pro,Gemini-2.5-Pro,5,30.3630,303,#CA9161
